Month,ProjectedChange,Historical,Projected,PctChange
January,20.79275,130.8767115,151.6694615,0.158872803
February,11.945743,97.62174231,109.5674853,0.122367648
March,6.883262,89.01822692,95.90148892,0.077324187
April,5.7131634,77.77535385,83.48851725,0.073457247
May,-2.6880503,77.6145,74.9264497,-0.034633352
June,-9.379561,80.15925,70.779689,-0.117011586
July,-14.1527195,87.29872692,73.14600742,-0.162118281
August,-9.219931,95.92645385,86.70652285,-0.096114582
September,2.3806934,98.38906154,100.7697549,0.024196728
October,11.373832,137.5482846,148.9221166,0.082689741
November,17.441982,136.3078808,153.7498628,0.127960188
December,19.532957,135.1200538,154.6530108,0.144560015
